Amps,Volts,State,Aux #1,Aux #2,Capacity
0,3.35057603,2,39.96083,38.61803,100
0,3.35057603,2,39.92521,38.57058,100
0,3.35027085,2,39.92521,38.55872,100
0,3.35027085,2,39.92521,38.55872,100
0,3.34966049,2,39.92521,38.60617,100
0,3.34905013,2,39.91334,38.60617,100
0,3.34874495,2,39.90147,38.6299,100
0,3.34874495,2,39.85397,38.58245,100
0,3.34843977,2,39.86584,38.61803,100
0,3.34813458,2,39.85397,38.60617,100
0,3.3478294,2,39.85397,38.57058,100
0,3.3478294,2,39.80648,38.55872,100
0,3.34752422,2,39.83022,38.55872,100
0,3.34721904,2,39.80648,38.52314,100
0,3.34691386,2,39.83022,38.52314,100
0,3.34691386,2,39.78273,38.49941,100
0,3.34691386,2,39.77085,38.49941,100
0,3.34691386,2,39.78273,38.49941,100
0,3.34660868,2,39.77085,38.47569,100
0,3.3463035,2,39.75898,38.51127,100
0,3.3463035,2,39.71149,38.535,100
0,3.34599832,2,39.72336,38.535,100
0,3.34599832,2,39.72336,38.52314,100
0,3.34569314,2,39.72336,38.51127,100
0,3.34569314,2,39.74711,38.52314,100
0,3.34538796,2,39.69962,38.51127,100
0,3.34508278,2,39.66399,38.49941,100
0,3.34508278,2,39.67587,38.46382,100
0,3.34508278,2,39.66399,38.42824,100
0,3.3447776,2,39.64025,38.41637,100
0,3.34447242,2,39.65212,38.41637,100
0,3.34416724,2,39.64025,38.35706,100
0,3.34386206,2,39.64025,38.35706,100
0,3.34447242,2,39.59275,38.3452,100
0,3.34416724,2,39.59275,38.30961,100
0,3.34386206,2,39.60463,38.27402,100
0,3.34355688,2,39.569,38.26216,100
0,3.34386206,2,39.55713,38.2503,100
0,3.34386206,2,39.55713,38.2503,100
0,3.34355688,2,39.55713,38.26216,100
0,3.34355688,2,39.50964,38.26216,100
0,3.34355688,2,39.53338,38.23844,100
0,3.3432517,2,39.53338,38.21471,100
0,3.3432517,2,39.53338,38.16726,100
0,3.34294652,2,39.49776,38.1554,100
0,3.3432517,2,39.49776,38.1554,100
0,3.34264134,2,39.49776,38.16726,100
0,3.34294652,2,39.48589,38.20285,100
0,3.34294652,2,39.43839,38.19099,100
0,3.34264134,2,39.45027,38.19099,100
0,3.34264134,2,39.46214,38.16726,100
0,3.34264134,2,39.40277,38.14354,100
0,3.34233616,2,39.3909,38.10795,100
0,3.34233616,2,39.35528,38.08423,100
0,3.34233616,2,39.40277,38.0605,100
0,3.34203098,2,39.37902,38.0605,100
0,3.34203098,2,39.3909,38.0605,100
0,3.34203098,2,39.3434,38.08423,100
0,3.34203098,2,39.35528,38.08423,100
0,3.34203098,2,39.33153,38.09609,100
0,3.3417258,2,39.33153,38.0605,100
0,3.34203098,2,39.29591,38.03678,100
0,3.3417258,2,39.27216,38.03678,100
0,3.34142061,2,39.28403,38.03678,100
0,3.3417258,2,39.29591,38.03678,100
-32.02485695,3.2886244,3,39.28403,38.03678,99.8783902
-31.9972076,3.27367056,3,39.24842,37.98933,99.75688567
-31.9972076,3.26604105,3,39.24842,37.98933,99.63538113
-31.9972076,3.26085298,3,39.23654,38.00119,99.5138766
-31.99951171,3.25658045,3,39.22467,37.98933,99.39236249
-31.9972076,3.25291829,3,39.18905,37.93002,99.27085796
-31.99951171,3.24925612,3,39.18905,37.93002,99.14934385
-31.99490349,3.2465095,3,39.17717,37.95374,99.02784889
-31.99490349,3.24406806,3,39.20092,37.95374,98.90635255
-31.99951171,3.24223697,3,39.17717,37.94188,98.78483845
-31.9972076,3.24010071,3,39.14155,37.91815,98.66333391
-31.9972076,3.23857481,3,39.1653,37.91815,98.54182938
-31.99490349,3.23735409,3,39.1653,37.8707,98.42033304
-31.9972076,3.23582818,3,39.12968,37.88256,98.29882851
-31.9972076,3.23460746,3,39.11781,37.84698,98.17732397
-31.9972076,3.23369192,3,39.12968,37.83512,98.05581944
-31.99951171,3.2324712,3,39.11781,37.82325,97.9343067
-31.9972076,3.23186084,3,39.09406,37.82325,97.8128008
-31.9972076,3.23064012,3,39.08218,37.82325,97.69129626
-31.9972076,3.22972457,3,39.08218,37.83512,97.56979173
-31.99951171,3.22880903,3,39.08218,37.83512,97.44827899
-31.9972076,3.22819867,3,39.07031,37.78767,97.32677309
-31.9972076,3.22789349,3,39.03469,37.74022,97.20526855
-31.99951171,3.22728313,3,39.07031,37.7758,97.08375582
-31.99490349,3.22697795,3,39.03469,37.74022,96.96225948
-31.99490349,3.22606241,3,39.03469,37.74022,96.84076315
-31.9972076,3.22575723,3,39.01094,37.74022,96.71925861
-31.9972076,3.22484169,3,39.01094,37.71649,96.59775408
-31.99951171,3.22484169,3,39.02282,37.66904,96.47624134
-31.9972076,3.22392615,3,38.98719,37.6809,96.35473544
-31.9972076,3.22362097,3,39.01094,37.71649,96.2332309
-31.9972076,3.22301061,3,38.98719,37.6809,96.11172637
-31.99951171,3.22270542,3,38.98719,37.70463,95.99021363
-31.9972076,3.22240024,3,38.96345,37.6809,95.8687091
-31.9972076,3.2214847,3,38.97532,37.70463,95.74720319
-31.9972076,3.22178988,3,38.96345,37.66904,95.62569866
-31.9972076,3.22117952,3,38.96345,37.66904,95.50419412
-31.99951171,3.22087434,3,38.95157,37.60973,95.38268138
-31.9972076,3.22056916,3,38.95157,37.62159,95.26117548
-31.99951171,3.22026398,3,38.96345,37.63346,95.13966274
-31.99951171,3.22026398,3,38.95157,37.58601,95.01814864
-31.9972076,3.21965362,3,38.95157,37.60973,94.89664411
-31.9972076,3.21873808,3,38.92783,37.58601,94.77513957
-31.9972076,3.21873808,3,38.92783,37.60973,94.65363503
-31.99951171,3.2184329,3,38.92783,37.58601,94.53212093
-31.99951171,3.21812772,3,38.88033,37.57414,94.41060819
-31.99951171,3.21751736,3,38.90408,37.55042,94.28909409
-31.9972076,3.21751736,3,38.92783,37.57414,94.16758955
-31.9972076,3.21751736,3,38.91595,37.56228,94.04608502
-31.99951171,3.216907,3,38.90408,37.57414,93.92457228
-31.99951171,3.21660182,3,38.85658,37.5267,93.80305817
-31.9972076,3.21629664,3,38.88033,37.5267,93.68155364
-31.99951171,3.21599145,3,38.88033,37.51483,93.56003953
-31.99951171,3.21538109,3,38.85658,37.51483,93.4385268
-31.9972076,3.21507591,3,38.84471,37.50297,93.31702226
-31.9972076,3.21477073,3,38.84471,37.5267,93.19551773
-31.99490349,3.21507591,3,38.85658,37.51483,93.07402139
-31.99951171,3.21446555,3,38.84471,37.56228,92.95250729
-31.99951171,3.21385519,3,38.82096,37.47924,92.83099455
-31.9972076,3.21324483,3,38.86846,37.51483,92.70949002
-31.9972076,3.21324483,3,38.84471,37.5267,92.58798548
-31.9972076,3.21293965,3,38.80909,37.5267,92.46647958
-31.99951171,3.21263447,3,38.80909,37.50297,92.34496684
-31.9972076,3.21202411,3,38.82096,37.50297,92.22346231
-31.99951171,3.21232929,3,38.82096,37.51483,92.1019482
-31.9972076,3.21171893,3,38.79721,37.51483,91.98044367
-31.99951171,3.21171893,3,38.77347,37.51483,91.85893093
-31.99951171,3.21171893,3,38.77347,37.51483,91.73741682
-31.9972076,3.21110857,3,38.79721,37.50297,91.61591229
-31.99951171,3.21080339,3,38.79721,37.47924,91.49439818
-31.9972076,3.21019303,3,38.77347,37.47924,91.37289365
-31.99490349,3.21019303,3,38.77347,37.47924,91.25139732
-31.9972076,3.20988785,3,38.77347,37.51483,91.12989278
-31.99490349,3.21019303,3,38.77347,37.45552,91.00839781
-31.9972076,3.20958267,3,38.74972,37.44366,90.88689191
-31.9972076,3.2089723,3,38.74972,37.45552,90.76538738
-31.99951171,3.20866712,3,38.7616,37.44366,90.64387464
-31.99951171,3.20836194,3,38.7616,37.41993,90.52236053
-31.9972076,3.20836194,3,38.73785,37.41993,90.400856
-31.9972076,3.20805676,3,38.74972,37.45552,90.27935146
-31.9972076,3.2074464,3,38.74972,37.46738,90.15784693
-31.99951171,3.20775158,3,38.74972,37.46738,90.03633282
-31.99490349,3.20683604,3,38.7616,37.44366,89.91483786
-31.99951171,3.20653086,3,38.73785,37.44366,89.79332375
-31.99951171,3.20653086,3,38.7141,37.44366,89.67181102
-31.9972076,3.2059205,3,38.73785,37.44366,89.55030511
-31.9972076,3.2059205,3,38.7141,37.50297,89.42880058
-32.00181582,3.20531014,3,38.73785,37.5267,89.30727827
-31.9972076,3.20531014,3,38.73785,37.60973,89.18577374
-31.9972076,3.2043946,3,38.69035,37.56228,89.0642692
-31.9972076,3.2043946,3,38.7141,37.58601,88.94276467
-31.9972076,3.2043946,3,38.7141,37.58601,88.82126013
-31.99490349,3.20408942,3,38.70223,37.56228,88.6997638
-31.99490349,3.20378424,3,38.70223,37.56228,88.57826746
-31.99490349,3.20347906,3,38.70223,37.55042,88.4567725
-32.00181582,3.20347906,3,38.7141,37.56228,88.33525019
-31.9972076,3.20256352,3,38.70223,37.55042,88.21374566
-31.99951171,3.20256352,3,38.69035,37.51483,88.09223155
-31.99951171,3.20195315,3,38.69035,37.51483,87.97071745
-31.9972076,3.20225834,3,38.70223,37.50297,87.84921291
-31.9972076,3.20195315,3,38.69035,37.47924,87.72770838
-31.9972076,3.20164797,3,38.69035,37.50297,87.60620384
-31.9972076,3.20103761,3,38.66661,37.51483,87.48469931
-31.9972076,3.20103761,3,38.69035,37.51483,87.36319477
-31.9972076,3.20042725,3,38.69035,37.47924,87.24169023
-31.9972076,3.20042725,3,38.64286,37.45552,87.1201857
-31.99951171,3.20012207,3,38.66661,37.44366,86.99867159
-31.9972076,3.19981689,3,38.66661,37.41993,86.87716706
-31.9972076,3.19920653,3,38.65473,37.41993,86.75566252
-31.9972076,3.19920653,3,38.65473,37.41993,86.63415799
-31.99951171,3.19920653,3,38.65473,37.44366,86.51264388
-31.9972076,3.19829099,3,38.65473,37.41993,86.39113935
-31.99951171,3.19798581,3,38.64286,37.40807,86.26962524
-31.99490349,3.19798581,3,38.64286,37.40807,86.14813028
-31.9972076,3.19737545,3,38.65473,37.41993,86.02662574
-31.99951171,3.19707027,3,38.65473,37.39621,85.90511164
-31.9972076,3.19676509,3,38.64286,37.37248,85.7836071
-31.99951171,3.19676509,3,38.65473,37.37248,85.662093
-31.9972076,3.19645991,3,38.64286,37.36062,85.54058846
-31.9972076,3.19615473,3,38.63099,37.33689,85.41908393
-31.99951171,3.19584955,3,38.63099,37.30131,85.29757119
-31.9972076,3.19554437,3,38.63099,37.31317,85.17606529
-31.99951171,3.19554437,3,38.63099,37.31317,85.05455255
-31.9972076,3.19523919,3,38.60724,37.28945,84.93304802
-31.9972076,3.19462882,3,38.63099,37.31317,84.81154348
-31.9972076,3.19462882,3,38.63099,37.33689,84.69003894
-31.9972076,3.19401846,3,38.63099,37.34876,84.56853304
-31.9972076,3.19371328,3,38.60724,37.31317,84.44702851
-31.9972076,3.19371328,3,38.60724,37.31317,84.32552397
-31.9972076,3.1934081,3,38.59536,37.30131,84.20401944
-31.9972076,3.19310292,3,38.55974,37.28945,84.0825149
-31.9972076,3.19310292,3,38.59536,37.31317,83.96101037
